Year,Month,DayofMonth,percentageCancelled
1998,9,6,0.11147593497237127
1998,9,7,0.11045432675785277
1998,9,8,0.10811692548610205
1998,9,9,0.11263916175507531
1998,9,10,0.11081275787543389
1998,9,11,0.10823529411764705
1998,9,12,0.10125729681185451
1998,9,13,0.10076928408067087
1998,9,14,0.10885245901639344
1998,9,15,0.11453137306379627
1998,9,16,0.08024447949526814
1998,9,17,0.0741590715362927
1998,9,18,0.0591510546312066
1998,9,19,0.04544772761361932
1998,9,20,0.0259947317343685
1998,9,21,0.025269099501181412
1998,9,22,0.022207621550591326
1998,9,23,0.016497962403049824
1998,9,24,0.0205353628132791
1998,9,25,0.053224960671211324
1998,9,26,0.02677767776777678
1998,9,27,0.03474582148553991
1998,9,28,0.03320645754035963
1998,9,29,0.03219025095256865
1998,9,30,0.01987888362295945
1998,10,1,0.01979152922549149
1998,10,2,0.029491146073332895
1998,10,3,0.023689173896642775
1998,10,4,0.011547826086956522
1998,10,5,0.07064250411861614
1998,10,6,0.03702725892680351
1998,10,7,0.014702973561020637
1998,10,8,0.0125
1998,10,9,0.014451816330552453
1998,10,10,0.010524733122838671
1998,10,11,0.0106951871657754
1998,10,12,0.015732999802514646
1998,10,13,0.012056924495981025
1998,10,14,0.012390430369735715
1998,10,15,0.012629086364533316
1998,10,16,0.010049261083743842
1998,10,17,0.021649252048410134
1998,10,18,0.009297807382736608
1998,10,19,0.012171853411408645
1998,10,20,0.01343607982612132
1998,10,21,0.013047775947281714
1998,10,22,0.012035514633344294
1998,10,23,0.007490144546649146
1998,10,24,0.014132406287787183
1998,10,25,0.0077951002227171495
1998,10,26,0.011270761929870815
1998,10,27,0.016820580474934038
1998,10,28,0.016090741229227115
1998,10,29,0.016798418972332016
1998,10,30,0.015323906609667872
1998,10,31,0.023391370174110523
1998,11,1,0.014432127170048107
1998,11,2,0.024683210137275608
1998,11,3,0.019552150075962744
1998,11,4,0.014273442146302781
1998,11,5,0.011875700996239361
1998,11,6,0.010928242264647794
1998,11,7,0.017581246670218435
1998,11,8,0.0068445313591283695
1998,11,9,0.018495277098883676
1998,11,10,0.06043811031934548
1998,11,11,0.020792079207920793
1998,11,12,0.012311541246955033
1998,11,13,0.009337190952130458
1998,11,14,0.01509290860826697
1998,11,15,0.007281553398058253
1998,11,16,0.02329253849190683
1998,11,17,0.022932454695222405
1998,11,18,0.017653646004874513
1998,11,19,0.014848883048620237
1998,11,20,0.009446339543426921
1998,11,21,0.011058930465081048
1998,11,22,0.008753039249739494
1998,11,23,0.01874876652851786
1998,11,24,0.007298310211059241
1998,11,25,0.0036726128016789086
1998,11,26,0.004985754985754986
1998,11,27,0.0075910931174089065
1998,11,28,0.004201680672268907
1998,11,29,0.004513437735074882
1998,11,30,0.011514672983287275
1998,12,1,0.01053740779768177
1998,12,2,0.02420314773178151
1998,12,3,0.013381674357284113
1998,12,4,0.012695697934482305
1998,12,5,0.015411478894624962
1998,12,6,0.013517279821627648
1998,12,7,0.018185412136785924
1998,12,8,0.02295968859272943
1998,12,9,0.02223835291012274
1998,12,10,0.013630078356489102
1998,12,11,0.010780253730362191
1998,12,12,0.01175043590326738
1998,12,13,0.018916475415536545
1998,12,14,0.015888713080168777
1998,12,15,0.013053460150869138
1998,12,16,0.017490992466426467
1998,12,17,0.012227017130901007
1998,12,18,0.011434171839268212
1998,12,19,0.013200330008250206
1998,12,20,0.01865284974093264
1998,12,21,0.029590834697217676
1998,12,22,0.02197514715500327
1998,12,23,0.08675470711297072
1998,12,24,0.057263751763046544
1998,12,25,0.020758768790264854
1998,12,26,0.008780561653167814
1998,12,27,0.0313451425408248
1998,12,28,0.03417621493480837
1998,12,29,0.03567424991757336
1998,12,30,0.02187953077632793
1998,12,31,0.011658795749704841
1999,1,1,0.02745819911029299
1999,1,2,0.22986173730087164
1999,1,3,0.15144628099173554
1999,1,4,0.06294622388157464
1999,1,5,0.04057875698783295
1999,1,6,0.0680996516137514
1999,1,7,0.049004795375418776
1999,1,8,0.14962282715644473
1999,1,9,0.06381497524752475
1999,1,10,0.018183094636338108
1999,1,11,0.06818480979333948
1999,1,12,0.040348101265822785
1999,1,13,0.06970156136767904
1999,1,14,0.12629848783694939
1999,1,15,0.0989501312335958
1999,1,16,0.02480427873808232
1999,1,17,0.026284348864994027
1999,1,18,0.0450065703022339
1999,1,19,0.03081785855393125
1999,1,20,0.03889693299986837
1999,1,21,0.0374384236453202
1999,1,22,0.07681719866290883
1999,1,23,0.08353998760074395
1999,1,24,0.024811977226400505
1999,1,25,0.024829217025748817
1999,1,26,0.029903833487024106
1999,1,27,0.020393395171370305
1999,1,28,0.02789629143419757
1999,1,29,0.018937160081252867
1999,1,30,0.021240310077519378
1999,1,31,0.02281954360912782
1999,2,1,0.04030094864245993
1999,2,2,0.037134234352447185
1999,2,3,0.021043000914913082
1999,2,4,0.02115987460815047
1999,2,5,0.014835057583447199
1999,2,6,0.02727826882048156
1999,2,7,0.04141104294478527
1999,2,8,0.060262179612600275
1999,2,9,0.06857366771159874
1999,2,10,0.07079414838035528
1999,2,11,0.08725050386840907
1999,2,12,0.07361525489687379
1999,2,13,0.05779467680608365
1999,2,14,0.040373753573669895
1999,2,15,0.023094537127903172
1999,2,16,0.020914523252792933
1999,2,17,0.028315365631900246
1999,2,18,0.026028819940283006
1999,2,19,0.02030094694512907
1999,2,20,0.01611809896814039
1999,2,21,0.008158185840707965
1999,2,22,0.01889365017530191
1999,2,23,0.03021246182834124
1999,2,24,0.020340525084481413
1999,2,25,0.04168289832489287
1999,2,26,0.02139384116693679
1999,2,27,0.013174734623202589
1999,2,28,0.018524918780673257
1999,3,1,0.021764553014553014
1999,3,2,0.02347051557115922
1999,3,3,0.029927291612568165
1999,3,4,0.035134433043252374
1999,3,5,0.03926141885325559
1999,3,6,0.061936936936936936
1999,3,7,0.026092358666390557
1999,3,8,0.08686330561330562
1999,3,9,0.10926334935689229
1999,3,10,0.02452316076294278
1999,3,11,0.0178988326848249
1999,3,12,0.020988534041588392
1999,3,13,0.010951916585402446
1999,3,14,0.03386563876651982
1999,3,15,0.05111427831044312
1999,3,16,0.023862015302814163
1999,3,17,0.018984061163664637
1999,3,18,0.02102743271221532
1999,3,19,0.011631663974151859
1999,3,20,0.006885196826822332
1999,3,21,0.01162950729424718
1999,3,22,0.017549540214998056
1999,3,23,0.015295871410979324
1999,3,24,0.018523316062176165
1999,3,25,0.015727137402109896
1999,3,26,0.009627188731666344
1999,3,27,0.0061290081470961955
1999,3,28,0.0075668982596134
1999,3,29,0.01075965776510241
1999,3,30,0.017515407071034706
1999,3,31,0.016084052143459367
1999,4,1,0.015426497277676952
1999,4,2,0.013255077815879715
1999,4,3,0.03492717150918936
1999,4,4,0.008423837371205792
1999,4,5,0.015475265475265475
1999,4,6,0.018466921531782542
1999,4,7,0.018250064716541548
1999,4,8,0.018904570762657
1999,4,9,0.03764690688363683
1999,4,10,0.019952174562845613
1999,4,11,0.012586835408212394
1999,4,12,0.012884428617675624
1999,4,13,0.013686190568852565
1999,4,14,0.01387088410681877
1999,4,15,0.020605196656515258
1999,4,16,0.020098229287837662
1999,4,17,0.013310401555372766
1999,4,18,0.00667906080011017
1999,4,19,0.010042762731631462
1999,4,20,0.014003241491085899
1999,4,21,0.014317180616740088
1999,4,22,0.057451907506962885
1999,4,23,0.04137574347039048
1999,4,24,0.017591137061157273
1999,4,25,0.00907465970026124
1999,4,26,0.04405286343612335
1999,4,27,0.017638285454899164
1999,4,28,0.01479174776177501
1999,4,29,0.01909879580473909
1999,4,30,0.018444214341185608
1999,5,1,0.014647634705926314
1999,5,2,0.016851227732306212
1999,5,3,0.019303018525715768
1999,5,4,0.04576304052743843
1999,5,5,0.03820544314435322
1999,5,6,0.03724983860555197
1999,5,7,0.026163165356360357
1999,5,8,0.02579497442739604
1999,5,9,0.012339754575992321
1999,5,10,0.04519628099173554
1999,5,11,0.025066218747981137
1999,5,12,0.03660350514130505
1999,5,13,0.021132221791392014
1999,5,14,0.013341927167257493
1999,5,15,0.009932547624342154
1999,5,16,0.009596928982725527
1999,5,17,0.07375831557191759
1999,5,18,0.05638442162371633
1999,5,19,0.03868759284376413
1999,5,20,0.019547125991871493
1999,5,21,0.012107941005989567
1999,5,22,0.016443226427672025
1999,5,23,0.011444627192982455
1999,5,24,0.05883111856534641
1999,5,25,0.02645331956900445
1999,5,26,0.021803638240227068
1999,5,27,0.010706223798774589
1999,5,28,0.007732456988208003
1999,5,29,0.01147630572253884
1999,5,30,0.009602412506943893
1999,5,31,0.00941016024548244
1999,6,1,0.02563440304771744
1999,6,2,0.03030497592295345
1999,6,3,0.01820279451352391
1999,6,4,0.019140900070418028
1999,6,5,0.014711263997657908
1999,6,6,0.016502761686649603
1999,6,7,0.029244620394610815
1999,6,8,0.026809136860963593
1999,6,9,0.025896796470362554
1999,6,10,0.04912816596665394
1999,6,11,0.052681809505630846
1999,6,12,0.0546448087431694
1999,6,13,0.03955558530218861
1999,6,14,0.03432276107544651
1999,6,15,0.02839859917223814
1999,6,16,0.020666412310822842
1999,6,17,0.016893179220119396
1999,6,18,0.015357278842492703
1999,6,19,0.012986081216817333
1999,6,20,0.010973569755771162
1999,6,21,0.017015873015873016
1999,6,22,0.037355224640448007
1999,6,23,0.029114487318034454
1999,6,24,0.01853968253968254
1999,6,25,0.022761856454476287
1999,6,26,0.0177765034764533
1999,6,27,0.016026711185308847
1999,6,28,0.04572262033102924
1999,6,29,0.04838095238095238
1999,6,30,0.028315662497619198
1999,7,1,0.04595366550301492
1999,7,2,0.02593860984271943
1999,7,3,0.012320023749443373
1999,7,4,0.011949276540399935
1999,7,5,0.01293473239622517
1999,7,6,0.04512040557667934
1999,7,7,0.03956880152187698
1999,7,8,0.024778200253485424
1999,7,9,0.033036447476470214
1999,7,10,0.027902341803687097
1999,7,11,0.011702127659574468
1999,7,12,0.023878711307643713
1999,7,13,0.023395510591210877
1999,7,14,0.02592475497944989
1999,7,15,0.019833249115715008
1999,7,16,0.0134117795913203
1999,7,17,0.03586393011859953
1999,7,18,0.02225765729851837
1999,7,19,0.0357436578730942
1999,7,20,0.030596731280881796
1999,7,21,0.0355989104959777
1999,7,22,0.0368564372110696
1999,7,23,0.06000252908447142
1999,7,24,0.046600838246785535
1999,7,25,0.031468298849045305
1999,7,26,0.028795645845199672
1999,7,27,0.02539421189285036
1999,7,28,0.04710947888304945
1999,7,29,0.03968052738336714
1999,7,30,0.039772007599746674
1999,7,31,0.05437873187375604
1999,8,1,0.025281085756104053
1999,8,2,0.02285678105609725
1999,8,3,0.019529516200621395
1999,8,4,0.02356667722521381
1999,8,5,0.024223641768389096
1999,8,6,0.0158529653255858
1999,8,7,0.022361042095549087
1999,8,8,0.011288930207849126
1999,8,9,0.016242179106364153
1999,8,10,0.021852039523688877
1999,8,11,0.021582278481012657
1999,8,12,0.019488737028600354
1999,8,13,0.038179519595448796
1999,8,14,0.043478260869565216
1999,8,15,0.015529599150517654
1999,8,16,0.014156607470138406
1999,8,17,0.019791337337970283
1999,8,18,0.022396558269011768
1999,8,19,0.01983826130907253
1999,8,20,0.0243625347134562
1999,8,21,0.014680851063829787
1999,8,22,0.014277176439338601
1999,8,23,0.024618695019302576
1999,8,24,0.03196607165463983
1999,8,25,0.02859854476431509
1999,8,26,0.06434672571970895
1999,8,27,0.045293522267206475
1999,8,28,0.026082012650131475
1999,8,29,0.017291832934291033
1999,8,30,0.02194674593637341
1999,8,31,0.025241137417011148
1999,9,1,0.023650128261277607
1999,9,2,0.017826984424845187
1999,9,3,0.014752766143651935
1999,9,4,0.012415349887133182
1999,9,5,0.013501776549545992
1999,9,6,0.008581389112362564
1999,9,7,0.019622641509433963
